18,65,46
94,92,39
17,99,31
54,98,23
54,61,72
25,66,26
60,7,22
26,22,4
9,81,94
8,17,89
39,44,12
68,99,55
2,25,88
25,24,58
10,1,91
61,95,99
68,83,44
40,36,84
42,89,39
3,22,31
26,40,31
42,4,62
47,2,25
34,71,21
32,8,30
36,32,21
24,91,63
36,50,97
99,12,5
49,70,73
94,24,61
25,73,64
66,23,92
78,26,15
68,82,17
45,20,25
96,18,66
77,7,76
53,90,10
7,73,89
50,63,73
77,79,47
25,4,4
49,84,37
26,40,85
18,41,77
70,96,49
78,15,20
98,58,55
8,3,56
92,18,1
57,18,25
65,83,21
93,24,67
63,14,72
28,84,95
56,88,53
5,57,96
17,30,32
58,34,11
76,67,26
63,42,12
78,45,99
30,25,19
41,55,23
13,70,41
33,93,80
2,90,11
52,72,82
38,80,97
34,24,24
70,81,32
27,43,52
88,78,91
36,69,68
46,37,48
36,88,40
64,74,40
81,86,43
39,21,7
81,44,38
41,2,68
77,11,25
53,21,6
54,72,88
48,77,24
26,37,99
90,74,91
10,27,79
85,89,69
84,1,22
44,86,37
14,27,68
81,20,97
17,9,56
69,19,17
70,67,36
1,21,63
61,58,54
34,62,79
